Occupation,Employer,Applications,Employer_Median_Wage,Occupation_Median_Wage,Occupation_75th_Wage,Occupation_90th_Wage,Sample_Count,Bin_Center
Software Developer,Google LLC,5572,184000.0,140000.0,174960.0,209000.0,145320,
Software Developer,Amazon.com Services LLC,4699,152100.0,140000.0,174960.0,209000.0,145320,
Software Developer,Microsoft Corporation,4641,170205.0,140000.0,174960.0,209000.0,145320,
Software Developer,"Meta Platforms, Inc",3253,195888.0,140000.0,174960.0,209000.0,145320,
Software Developer,Apple Inc.,2477,213877.0,140000.0,174960.0,209000.0,145320,
Software Developer,"WAL-MART ASSOCIATES, INC.",2238,151286.59,140000.0,174960.0,209000.0,145320,
Software Developer,JPMorgan Chase & Co.,1737,154900.0,140000.0,174960.0,209000.0,145320,
Software Developer,"Amazon Development Center U.S., Inc.",1624,137259.0,140000.0,174960.0,209000.0,145320,
Software Developer,"Amazon Web Services, Inc.",1574,152100.0,140000.0,174960.0,209000.0,145320,
Software Developer,Deloitte Consulting LLP,1392,125653.0,140000.0,174960.0,209000.0,145320,
Software Developer,Ernst & Young U.S. LLP,1215,162078.02,140000.0,174960.0,209000.0,145320,
Software Developer,"Fidelity Technology Group, LLC d/b/a Fidelity Investments",1095,136385.5,140000.0,174960.0,209000.0,145320,
Software Developer,CAPGEMINI AMERICA INC,1006,134298.0,140000.0,174960.0,209000.0,145320,
Software Developer,"Salesforce, Inc.",869,202878.0,140000.0,174960.0,209000.0,145320,
Software Developer,"COMPUNNEL SOFTWARE GROUP, INC",814,137500.0,140000.0,174960.0,209000.0,145320,
Software Developer,ALL,1,,140000.0,174960.0,209000.0,145320,30475.0
Software Developer,ALL,34,,140000.0,174960.0,209000.0,145320,49425.0
Software Developer,ALL,1375,,140000.0,174960.0,209000.0,145320,68375.0
Software Developer,ALL,13070,,140000.0,174960.0,209000.0,145320,87325.0
Software Developer,ALL,26411,,140000.0,174960.0,209000.0,145320,106275.0
Software Developer,ALL,23987,,140000.0,174960.0,209000.0,145320,125225.0
Software Developer,ALL,23435,,140000.0,174960.0,209000.0,145320,144175.0
Software Developer,ALL,18532,,140000.0,174960.0,209000.0,145320,163125.0
Software Developer,ALL,15989,,140000.0,174960.0,209000.0,145320,182075.0
Software Developer,ALL,8707,,140000.0,174960.0,209000.0,145320,201025.0
Software Developer,ALL,6778,,140000.0,174960.0,209000.0,145320,219975.0
Software Developer,ALL,3567,,140000.0,174960.0,209000.0,145320,238925.0
Software Developer,ALL,1610,,140000.0,174960.0,209000.0,145320,257875.0
Software Developer,ALL,941,,140000.0,174960.0,209000.0,145320,276825.0
Software Developer,ALL,397,,140000.0,174960.0,209000.0,145320,295775.0
