Year,Status,Count
2019,CERTIFIED,108254
2019,CERTIFIED-WITHDRAWN,9156
2019,DENIED,752
2019,WITHDRAWN,1492
2020,CERTIFIED,669797
2020,CERTIFIED-WITHDRAWN,48792
2020,DENIED,4498
2020,WITHDRAWN,14351
2021,CERTIFIED,655131
2021,CERTIFIED-WITHDRAWN,53067
2021,DENIED,3044
2021,WITHDRAWN,12812
2022,CERTIFIED,639842
2022,CERTIFIED-WITHDRAWN,39581
2022,DENIED,3225
2022,WITHDRAWN,13034
2023,CERTIFIED,682402
2023,CERTIFIED-WITHDRAWN,25594
2023,DENIED,3553
2023,WITHDRAWN,12532
2024,CERTIFIED,535040
2024,CERTIFIED-WITHDRAWN,8233
2024,DENIED,3110
2024,WITHDRAWN,9512
